full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,77064,77064,12395,7,7,4,https://github.com/shareAI-lab/learn-claude-code
Alishahryar1/free-claude-code,55325,55325,8846,9,9,2,https://github.com/Alishahryar1/free-claude-code
ChinaSiro/claude-code-sourcemap,9680,9680,14600,1,1,0,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1791,1791,2609,0,0,0,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,54229,54229,4722,4,4,0,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,66060,66060,6552,3,3,-1,https://github.com/shanraisshan/claude-code-best-practice
davila7/claude-code-templates,30772,30772,3494,0,0,1,https://github.com/davila7/claude-code-templates
musistudio/claude-code-router,37294,37294,3133,2,2,-1,https://github.com/musistudio/claude-code-router
LING71671/Open-ClaudeCode,953,953,1220,0,0,1,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,25171,25171,3599,2,2,1,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,25162,25162,2906,5,5,3,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3296,3296,3807,0,0,1,https://github.com/oboard/claude-code-rev
anthropics/claude-code-action,8898,8898,2145,0,0,0,https://github.com/anthropics/claude-code-action
ponponon/claude_code_src,2340,2340,3527,0,0,1,https://github.com/ponponon/claude_code_src
techjarves/ClaudeCode-Portable,1474,1474,487,0,0,0,https://github.com/techjarves/ClaudeCode-Portable
Piebald-AI/claude-code-system-prompts,12701,12701,2037,2,2,0,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3929,3929,2062,0,0,0,https://github.com/liuup/claude-code-analysis
pedrohcgs/claude-code-my-workflow,1591,1591,3042,0,0,0,https://github.com/pedrohcgs/claude-code-my-workflow
ykdojo/claude-code-tips,10105,10105,815,0,0,0,https://github.com/ykdojo/claude-code-tips
diet103/claude-code-infrastructure-showcase,10024,10024,1225,1,1,-1,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9637,9637,719,1,1,0,https://github.com/frankbria/ralph-claude-code
chauncygu/collection-claude-code-source-code,2836,2836,2458,1,1,0,https://github.com/chauncygu/collection-claude-code-source-code
lintsinghua/claude-code-book,4248,4248,831,1,1,0,https://github.com/lintsinghua/claude-code-book
hangsman/claude-code-source,795,795,1754,1,1,0,https://github.com/hangsman/claude-code-source
wanshuiyin/Auto-claude-code-research-in-sleep,16284,16284,1385,4,4,1,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
ChrisWiles/claude-code-showcase,6069,6069,576,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
